City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,vostok,46.4856,135.8833,32.9,82,100,1.63,RU,1635625427
118,svetlogorsk,52.6333,29.7333,44.51,73,23,10.16,BY,1635625652
119,bengkulu,-3.8004,102.2655,75.83,91,100,4.54,ID,1635625652
120,takaka,-40.85,172.8,58.55,69,2,10.29,NZ,1635625653
121,tuatapere,-46.1333,167.6833,50.63,92,100,13.76,NZ,1635625654
122,cherskiy,68.75,161.3,-0.9,98,100,5.59,RU,1635625655
123,sokolo,14.7328,-6.1219,89.2,24,84,3.89,ML,1635625656
124,iqaluit,63.7506,-68.5145,37.13,64,75,15.99,CA,1635625398
125,emerald,-23.5333,148.1667,77.99,28,7,17.27,AU,1635625657
126,tecoanapa,16.5167,-98.75,84.87,67,64,8.72,MX,1635625658
127,hasilpur,29.7122,72.5553,70.99,22,0,2.24,PK,1635625658
128,talcahuano,-36.7167,-73.1167,62.28,67,0,16.11,CL,1635625659
129,benghazi,32.1167,20.0667,72.48,64,86,18.28,LY,1635625661
130,pisco,-13.7,-76.2167,66.25,77,0,12.66,PE,1635625638
131,ambilobe,-13.2,49.05,75.96,80,98,1.68,MG,1635625662
132,acapulco,16.8634,-99.8901,84.94,70,11,7.45,MX,1635625663
133,dubbo,-32.25,148.6167,42.93,70,0,10.36,AU,1635625664
134,sept-iles,50.2001,-66.3821,48.72,81,40,3.0,CA,1635625514
135,cairns,-16.9167,145.7667,74.07,90,60,3.44,AU,1635625596
136,saskylakh,71.9167,114.0833,8.26,94,100,10.63,RU,1635625666
137,port moresby,-9.4431,147.1797,72.82,100,20,6.91,PG,1635625667
138,airai,-8.9266,125.4092,61.72,91,35,1.19,TL,1635625668
139,severo-kurilsk,50.6789,156.125,39.92,84,67,10.89,RU,1635625502
140,kota kinabalu,5.9749,116.0724,76.98,94,20,3.44,MY,1635625670
141,los patios,7.8379,-72.5037,83.17,65,40,6.91,CO,1635625670
142,kutum,14.2,24.6667,76.89,17,6,5.19,SD,1635625671
143,port elizabeth,-33.918,25.5701,58.1,93,5,3.47,ZA,1635625672
144,hami,42.8,93.45,50.88,42,100,4.07,CN,1635625493
145,sao joao da barra,-21.6403,-41.0511,71.69,88,100,11.65,BR,1635625673
146,ilulissat,69.2167,-51.1,37.42,65,75,10.36,GL,1635625674
147,praia da vitoria,38.7333,-27.0667,71.85,88,40,12.08,PT,1635625675
148,halifax,44.6453,-63.5724,53.42,82,67,1.01,CA,1635625661
149,saint-philippe,-21.3585,55.7679,71.15,80,100,4.12,RE,1635625676
150,tchollire,8.4022,14.1698,74.34,80,85,3.87,CM,1635625677
